date,provider,headline,tickers,sentiment
2025-07-23,PR Newswire,High-Growth Oncology Market Projected For US$900bn in Revenue Despite Policy Headwinds,['US'],Bearish
2025-07-23,ACCESSWIRE,Lexaria's DehydraTECH Technology Has the Potential to Unlock Accelerated Revenue Growth in the GLP-1-Industry,['GLP'],Bearish
2025-07-23,Insider Monkey,Aristotle Atlantic's Core Equity Strategy Sold Zoetis (ZTS) Due to Competition Concerns,['ZTS'],Bullish
2025-07-23,GlobeNewswire,EXL Recognized as Market Leader by Everest Group in its Group Life Insurance and Benefits Core Technology Products PEAK Matrix Assessment 2025 - North America,"['EXL', 'PEAK']",Bearish
2025-07-23,Insider Monkey,Chubb Limited (CB) Slid on Market Rotation,['CB'],Bullish
2025-07-23,GuruFocus.com,What To Expect From Newmont Corp (ASX:NEM) Q2 2025 Earnings,"['ASX', 'NEM']",Neutral
2025-07-23,Insider Monkey,Becton,[],Neutral
2025-07-23,GuruFocus.com,What To Expect From Cemex SAB de CV (MEX:CEMEXCPO) Q2 2025 Earnings,"['CV', 'MEX', 'SAB']",Neutral
2025-07-23,Barrons.com,U.S-Japan Trade Deal Could Spark a Flurry of Other Tariff News,"['S', 'U']",Neutral
2025-07-23,Business Wire,American Tower Corporation Releases 2024 Sustainability Executive Report,[],Neutral
2025-07-23,Insider Monkey,Here's Why Broadcom (AVGO) Surged in Q2,['AVGO'],Neutral
2025-07-23,PR Newswire,NYSE Content Advisory: Pre-market update + NIQ to debut,"['NYSE', 'NIQ']",Neutral
2025-07-23,GlobeNewswire,Global Software-Defined Vehicles (SDVs) Market Report 2026-2036 | SDV Market Forecast - $470 Billion in 2026 to $1.19 Trillion in 2036,['SDV'],Bearish
2025-07-23,PR Newswire,NYSE Content Advisory: Pre-market update + NIQ to debut,"['NYSE', 'NIQ']",Neutral
2025-07-23,Barrons.com,Talen Energy Stock,[],Neutral
2025-07-23,Investor's Business Daily,Abivax Hits The Stratosphere,[],Neutral
2025-07-23,PR Newswire,Back-to-Back Catalysts Line Up for U.S. Oil and Gas Producers as Domestic Output Tightens,"['S', 'U']",Neutral
2025-07-23,PR Newswire,Carnival Corporation Executive Vicky Rey Appointed to Champions 12.3 Global Coalition,[],Neutral
2025-07-23,PR Newswire,Universal Technical Institute,[],Neutral
2025-07-23,PR Newswire,Crossmark Global Investments Launches Two Active Values-Based ETFs,[],Neutral
2025-07-23,PR Newswire,Health In Tech to Host Independent InsurTech Summit in Davos During World Economic Forum Week 2026,[],Neutral
2025-07-23,GlobeNewswire,Greene County Bancorp,[],Neutral
2025-07-23,GlobeNewswire,Diane Davis Appointed to Boards of First Fed and First Northwest Bancorp,[],Neutral
2025-07-23,GlobeNewswire,Asia Pacific Core Banking Software Analysis Report 2025-2032 | China Leads the Market with India and Japan Showing Robust Growth,[],Bearish
2025-07-23,Benzinga,GE Vernova Lifts Outlook As Revenue And Orders Surge,['GE'],Bearish
2025-07-23,Investor's Business Daily,Stock Market Today: Dow Rallies 200 Points On Trump Trade Deal; Nvidia Rallies (Live Coverage),[],Bearish
2025-07-23,Insider Monkey,Weak Demand Affected Monro's (MNRO) Profitability in Q2,['MNRO'],Bullish
2025-07-23,MarketBeat,Coca-Cola Q2 Margins Rise; Is KO Stock Undervalued?,['KO'],Bearish
2025-07-23,Barrons.com,These Stocks Are Moving the Most Today: Tesla,[],Neutral
2025-07-23,Investing.com,Freeport-McMoRan tops Q2 estimates on stronger copper sales,[],Bearish
2025-07-23,GlobeNewswire,"Silynxcom Secures $500,000 of New Orders from Israel Defense Forces",[],Bearish
2025-07-23,Associated Press Finance,Capitol Federal: Fiscal Q3 Earnings Snapshot,[],Bullish
2025-07-23,The Wall Street Journal,Lamb Weston Revenue Rises as Restructuring Underway,[],Bearish
2025-07-23,Associated Press Finance,NVR: Q2 Earnings Snapshot,['NVR'],Bullish
2025-07-23,PR Newswire,"Happy Cappy® Expands Nationwide with CVS Launch in 6,800 Stores",['CVS'],Bearish
2025-07-23,PR Newswire,Marvell Appoints Rajiv Ramaswami to its Board of Directors,[],Neutral
2025-07-23,GlobeNewswire,Usio to Host Second Quarter 2025 Conference Call to Discuss Results and Provide Company Update on August 6,[],Neutral
2025-07-23,GlobeNewswire,PacBio Joins the 1000 Genomes Long Read Project to Add Isoform Sequencing with Kinnex and Revio,[],Neutral
2025-07-23,PR Newswire,Avalere Health welcomes Rhiannon Meaden,[],Neutral
2025-07-23,PR Newswire,Marvell Appoints Rajiv Ramaswami to its Board of Directors,[],Neutral
2025-07-23,Insider Monkey,Should You Invest in The Scotts Miracle-Gro Company (SMG)?,['SMG'],Neutral
2025-07-23,PR Newswire,Aero Tec Laboratories (ATL) Supplies Every World Rally Championship Car Using Equipment Made With DuPont's Kevlar EXO,"['ATL', 'EXO']",Neutral
2025-07-23,Business Wire,Macys Launches Black Friday in July with Incredible Deals on Summer Essentials,[],Bearish
2025-07-23,GuruFocus.com,Complete Solaria Inc (SPWR) Q2 2025 Earnings Call Highlights: Navigating Challenges with ...,['SPWR'],Neutral
2025-07-23,ACCESSWIRE,Vox Royalty Announces Major Expansion Approval at Binduli North Gold Project,[],Bearish
2025-07-23,ACCESSWIRE,IGC Pharma to Present Advanced AI Platforms for Alzheimer's Disease at the AAIC 2025,"['AAIC', 'IGC', 'AI']",Neutral
2025-07-23,ACCESSWIRE,ReElement Technologies and Electrified Materials and Blackion Announce Strategic Battery Recycling Collaboration,[],Neutral
2025-07-23,ACCESSWIRE,Sadot Group Takes Stake in High-Integrity Blue Carbon Project in Indonesia - Expanding its Commitment to Decarbonizing Global Supply Chains,[],Bearish
2025-07-23,PR Newswire,Invesco Continues to Expand Active Fixed Income Line-Up to Meet Investor Needs,[],Bearish
2025-07-23,PR Newswire,Enterprises That Fall Behind in AI Race Risk $87 Million Annual Loss,['AI'],Bullish
2025-07-23,PR Newswire,CVS Health opens new Workforce Innovation and Talent Center in Columbus,['CVS'],Bearish
2025-07-23,PR Newswire,NVR,['NVR'],Neutral
2025-07-23,PR Newswire,Victoria's Secret Introduces Powerful Bra Innovation to its #1 Collection,[],Bearish
2025-07-23,PR Newswire,CHOICE HOTELS INTERNATIONAL LAUNCHES TWO NEW MARKETING CAMPAIGNS FOCUSED ON ITS FOUR EXTENDED STAY BRANDS TO BOOST BRAND AWARENESS AND DRIVE BOOKINGS,"['NEW', 'AND', 'STAY', 'FOUR', 'TO', 'ON', 'TWO', 'BRAND', 'DRIVE', 'BOOST', 'ITS']",Bearish
2025-07-23,PR Newswire,Lucid Launches Collaborative with Critical Minerals Producers to Further Strengthen Supply Chain for American Automotive and EV Manufacturing,['EV'],Bearish
