date,provider,headline,tickers,sentiment
2025-07-24,Barrons.com,These Stocks Are Moving the Most Today: Tesla,[],Neutral
Jul-22-2025,,"XAU/USD: Gold Prices Ricochet Off $3,400 as Traders Eye String of Key Updates",,Bullish
Jul-22-2025,TradingView,OPEN: Opendoor Stock Goes Vertical as Meme Trading Roars Back — Here’s What Happened,OPEN,Neutral
Jul-22-2025,TradingView,IXIC: Nasdaq Composite Pops 0.4% for Another Record. Big Tech Earnings Ahead.,,Bearish
Jul-21-2025,TradingView,TSLA: Tesla Stock Jumps to Start Its Earnings Week. Here’s What Traders Are Watching.,,Neutral
Jul-21-2025,TradingView,DPZ: Domino’s Pizza Stock Rises 6% — Investors Bite as the Dough Keeps Rolling In,,Bearish
Jul-21-2025,TradingView,EUR/USD: Euro Collects Pips to $1.1650 as EU Leaders Meet Up to Discuss No-Deal Path with US,"EU, US",Bearish
Jul-21-2025,TradingView,"SPX: S&P 500 Futures Rise as Traders Look to Packed Week of Tech Earnings, Trade Updates",S & P,Bearish
Jul-18-2025,TradingView,NFLX: Netflix Stock Dips 2% as Quarterly Revenue Hits Record $11 Billion. What’s the Fuss About?,NFL,Bullish
Jul-18-2025,TradingView,LCID: Lucid Stock Goes on Wild Ride After Uber Pledges $300 Million for Robotaxis,U,Bearish
Jul-18-2025,TradingView,IXIC: Nasdaq Composite Soars to New Record as Nvidia Stock Keeps Printing Massive Gains,,Bearish
Jul-18-2025,TradingView,SPX: S&P 500 Logs Ninth Record Close of 2025 as Retail Sales Surprise to Upside,S & P,Bearish
Jul-17-2025,TradingView,XAU/USD: Gold Prices Erase Rumor-Driven Gains After Powell Drama Fizzles Out,,Bullish
Jul-17-2025,TradingView,Volvo Stock Zig-Zags After Swedish Carmaker Posts Sharp Drop in Operating Profit,Z,Bullish
Jul-17-2025,TradingView,"ETH/USD: Ether Prices Soar Above $3,400 as Peter Thiel Builds Stake in ETH-Holding Firm",,Bearish
Jul-16-2025,TradingView,GS: Goldman Sachs Stock Pops as Earnings Crush Estimates. Thank Equity Traders… Again,,Bullish
Jul-16-2025,TradingView,"GBP/USD: Sterling Pops Above $1.34 After UK Inflation in June Hits 3.6%, Topping Estimates",,Bearish
Jul-16-2025,TradingView,"DJI: Dow Jones Washes Out 430 Points as Inflation Data, Bank Earnings Fan Concerns",,Bullish
Jul-15-2025,TradingView,US CPI: June Inflation Outruns Consensus Calls with 2.7% Increase as Tariffs Bite. Uh-Oh?,US,Bullish
Jul-15-2025,TradingView,BTC/USD: Bitcoin Prices Wipe Out $100 Billion as Winning Traders Take Sats Off the Table,,Bullish
Jul-15-2025,TradingView,"JPM: JPMorgan Stock Slides as Profit, Revenue Take a Double-Digit Hit. What Happened?",,Bullish
Jul-15-2025,TradingView,NVDA: Nvidia Breaks Deadlock — Huang Says H20 Chips Are Soon Hitting the Chinese Market,VD,Neutral
Jul-15-2025,TradingView,IXIC: Nasdaq Composite Scores New Record as Traders Bet on Another Tariff Reprieve,,Bearish
Jul-15-2025,TradingView,DXY: US Dollar Bounces Off 4-Year Lows as Forex Traders Eye June’s Inflation Data,US,Bullish
Jul-23-2025,,Santam Receives In-Principle Approval For Lloyd's Syndicate,,Neutral
Jul-23-2025,ReutersRefinitiv,Wall Street Journal - July 23,,Neutral
Jul-23-2025,ReutersRefinitiv,"India's CreditAccess Grameen up on positive commentary, improved asset quality",,Bearish
Jul-23-2025,ReutersRefinitiv,Synektik To Divide By Transferring Assets To Syn2bio,,Neutral
Jul-23-2025,ReutersRefinitiv,Racing Force H1 Revenue EUR 39.3 Mln,EU,Neutral
Jul-23-2025,ReutersRefinitiv,France's Alstom tops market views on first-quarter sales,,Bearish
Jul-23-2025,ReutersRefinitiv,Stora Enso Half-year Report January-June 2025: Solid business performance in a volatile demand environment,,Bearish
Jul-23-2025,ReutersRefinitiv,Interim report Q2 2025: SSAB Americas drove improvement quarter over quarter,,Bearish
Jul-23-2025,ReutersRefinitiv,Karooooo Reports Q1 Operating Profit Up 17% To ZAR352 Mln,Z,Bearish
Jul-23-2025,Reuters,Astra Industrial Group Q2 Profit Rises,,Bearish
Jul-23-2025,Reuters,"Easter holidays, timely winter season bump up Mr Price Q1 sales",,Bullish
Jul-23-2025,Reuters,UK Stocks-Factors to watch on July 23,UK,Neutral
Jul-23-2025,Reuters,Recruiter Randstad's core profit meets market estimates in Q2,,Bearish
Jul-23-2025,Reuters,Acwa Power Says SAAD Two PV Project In Riyadh Achieves Partial Commercial Operations,SAAD,Bearish
Jul-23-2025,Reuters,"UniCredit posts surprise profit jump, ups guidance after dropping Banco BPM bid",,Bearish
Jul-23-2025,Reuters,Surprise Japan trade deal gets others' hopes up,,Bearish
Jul-23-2025,Reuters,Gambero Rosso Says CEO Carlo Spallanzani Is Replaced By Marco Moroni,,Bullish
Jul-23-2025,Reuters,"United Group For Land Transport Posts Q2 Profit 230,240 Dinars",,Neutral
Jul-23-2025,Reuters,Mr Price Group Anticipates H1 GP Margin To Remain In Line With Prior Year,GP,Bearish
Jul-23-2025,Reuters,"Dollar holds losses after Trump announces Japan trade deal, yen wobbles",,Bullish
Jul-23-2025,Reuters,"AMS-Osram Announces Preliminary 2025 Q2 Results, Places Eur 500 Mln 2029 Senior Notes",O,Neutral
Jul-23-2025,Reuters,Sambo Corrugated Board To Cancel 1.4 Billion Won Worth Of Own Shares,,Bullish
Jul-23-2025,Reuters,"Italy to add 15,000 prison places to ease overcrowding",,Bearish
Jul-23-2025,Reuters,"Digital Bros Sees FY 2024-25 EBIT Below Previous Year Level, EBIT Loss Of EUR 10 Mln",EU,Bullish
Jul-23-2025,Reuters,Sambo Corrugated Board To Divest 3.4 Billion Won Worth Of Own Shares,,Neutral
Jul-23-2025,Reuters,"Palm rises on short-covering, firmer palm olein, Chicago soyoil",,Bearish
Jul-23-2025,Reuters,Indonesian military's new pharma role sparks fears of expanded powers,,Bullish
Jul-23-2025,Reuters,"Hd Hyundai Infracore Q2 Operating Profit 106 Billion Won, Up 30% From Year Earlier",H,Bearish
Jul-23-2025,Reuters,Energy Time Admitted To Trade On Euronext Growth Milan As Of July 24,,Neutral
Jul-23-2025,Reuters,PrimeBit Games Appoints Robert Wist As Temporary CEO,,Neutral
Jul-23-2025,,Singapore Inflation Rate Steady in June,,Neutral
Jul-23-2025,Trading Economics,Ethiopia Inflation Slows in June,,Bullish
Jul-23-2025,Trading Economics,India Stocks Trade Slightly Higher,,Bearish
Jul-23-2025,Trading Economics,"Japan Probes Cheap Steel Imports from China, Taiwan",,Neutral
Jul-23-2025,Trading Economics,China 10-Year Yield Jumps Amid Trade Optimism,,Bullish
Jul-23-2025,Trading Economics,Dutch Consumer Mood Improves to 5-Month High,,Bearish
Jul-23-2025,Trading Economics,"Palm Oil Rises Past MYR 4,300",,Bearish
Jul-23-2025,Trading Economics,Australia 10-Year Bond Yield Stabilizes,,Bearish
Jul-23-2025,Trading Economics,Offshore Yuan Edges Higher,,Bearish
Jul-23-2025,Trading Economics,Singapore Stocks Hit Fresh Peak,,Bearish
