date,provider,headline,sentiment,tickers
Jul-22-2025,,"XAU/USD: Gold Prices Ricochet Off $3,400 as Traders Eye String of Key Updates",Bullish,
Jul-22-2025,TradingView,OPEN: Opendoor Stock Goes Vertical as Meme Trading Roars Back — Here’s What Happened,Neutral,OPEN
Jul-22-2025,TradingView,IXIC: Nasdaq Composite Pops 0.4% for Another Record. Big Tech Earnings Ahead.,Bearish,
Jul-21-2025,TradingView,TSLA: Tesla Stock Jumps to Start Its Earnings Week. Here’s What Traders Are Watching.,Neutral,
Jul-21-2025,TradingView,DPZ: Domino’s Pizza Stock Rises 6% — Investors Bite as the Dough Keeps Rolling In,Bearish,
Jul-21-2025,TradingView,EUR/USD: Euro Collects Pips to $1.1650 as EU Leaders Meet Up to Discuss No-Deal Path with US,Bearish,"EU, US"
Jul-21-2025,TradingView,"SPX: S&P 500 Futures Rise as Traders Look to Packed Week of Tech Earnings, Trade Updates",Bearish,S & P
Jul-18-2025,TradingView,NFLX: Netflix Stock Dips 2% as Quarterly Revenue Hits Record $11 Billion. What’s the Fuss About?,Bullish,NFL
Jul-18-2025,TradingView,LCID: Lucid Stock Goes on Wild Ride After Uber Pledges $300 Million for Robotaxis,Bearish,U
Jul-18-2025,TradingView,IXIC: Nasdaq Composite Soars to New Record as Nvidia Stock Keeps Printing Massive Gains,Bearish,
Jul-18-2025,TradingView,SPX: S&P 500 Logs Ninth Record Close of 2025 as Retail Sales Surprise to Upside,Bearish,S & P
Jul-17-2025,TradingView,XAU/USD: Gold Prices Erase Rumor-Driven Gains After Powell Drama Fizzles Out,Bullish,
Jul-17-2025,TradingView,Volvo Stock Zig-Zags After Swedish Carmaker Posts Sharp Drop in Operating Profit,Bullish,Z
Jul-17-2025,TradingView,"ETH/USD: Ether Prices Soar Above $3,400 as Peter Thiel Builds Stake in ETH-Holding Firm",Bearish,
Jul-16-2025,TradingView,GS: Goldman Sachs Stock Pops as Earnings Crush Estimates. Thank Equity Traders… Again,Bullish,
Jul-16-2025,TradingView,"GBP/USD: Sterling Pops Above $1.34 After UK Inflation in June Hits 3.6%, Topping Estimates",Bearish,
Jul-16-2025,TradingView,"DJI: Dow Jones Washes Out 430 Points as Inflation Data, Bank Earnings Fan Concerns",Bullish,
Jul-15-2025,TradingView,US CPI: June Inflation Outruns Consensus Calls with 2.7% Increase as Tariffs Bite. Uh-Oh?,Bullish,US
Jul-15-2025,TradingView,BTC/USD: Bitcoin Prices Wipe Out $100 Billion as Winning Traders Take Sats Off the Table,Bullish,
Jul-15-2025,TradingView,"JPM: JPMorgan Stock Slides as Profit, Revenue Take a Double-Digit Hit. What Happened?",Bullish,
Jul-15-2025,TradingView,NVDA: Nvidia Breaks Deadlock — Huang Says H20 Chips Are Soon Hitting the Chinese Market,Neutral,VD
Jul-15-2025,TradingView,IXIC: Nasdaq Composite Scores New Record as Traders Bet on Another Tariff Reprieve,Bearish,
Jul-15-2025,TradingView,DXY: US Dollar Bounces Off 4-Year Lows as Forex Traders Eye June’s Inflation Data,Bullish,US
Jul-23-2025,,Santam Receives In-Principle Approval For Lloyd's Syndicate,Neutral,
Jul-23-2025,ReutersRefinitiv,Wall Street Journal - July 23,Neutral,
Jul-23-2025,ReutersRefinitiv,"India's CreditAccess Grameen up on positive commentary, improved asset quality",Bearish,
Jul-23-2025,ReutersRefinitiv,Synektik To Divide By Transferring Assets To Syn2bio,Neutral,
Jul-23-2025,ReutersRefinitiv,Racing Force H1 Revenue EUR 39.3 Mln,Neutral,EU
Jul-23-2025,ReutersRefinitiv,France's Alstom tops market views on first-quarter sales,Bearish,
Jul-23-2025,ReutersRefinitiv,Stora Enso Half-year Report January-June 2025: Solid business performance in a volatile demand environment,Bearish,
Jul-23-2025,ReutersRefinitiv,Interim report Q2 2025: SSAB Americas drove improvement quarter over quarter,Bearish,
Jul-23-2025,ReutersRefinitiv,Karooooo Reports Q1 Operating Profit Up 17% To ZAR352 Mln,Bearish,Z
Jul-23-2025,Reuters,Astra Industrial Group Q2 Profit Rises,Bearish,
Jul-23-2025,Reuters,"Easter holidays, timely winter season bump up Mr Price Q1 sales",Bullish,
Jul-23-2025,Reuters,UK Stocks-Factors to watch on July 23,Neutral,UK
Jul-23-2025,Reuters,Recruiter Randstad's core profit meets market estimates in Q2,Bearish,
Jul-23-2025,Reuters,Acwa Power Says SAAD Two PV Project In Riyadh Achieves Partial Commercial Operations,Bearish,SAAD
Jul-23-2025,Reuters,"UniCredit posts surprise profit jump, ups guidance after dropping Banco BPM bid",Bearish,
Jul-23-2025,Reuters,Surprise Japan trade deal gets others' hopes up,Bearish,
